owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
zertosh,invariant,2394.0,78.0,10234576,1122.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,5.0,69.0,2695.3,39,0.0,-1.0,1.9,8.0,3476.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.46,0.87,1.9,7.0
http-party,node-http-proxy,27350.0,1931.0,4,1122.4,0.0,-1.0,2.8,1.9,1.0,0.0,7.3,13.0,50.0,7,13.0,4.0,4511.4,3651,40.0,-1.0,4.0,159.0,4999.23,1.0,15.0,-1.0,3.0,-1.0,0.56,0.81,1.9,13.0
lquixada,cross-fetch,3280.0,108.0,2032474,1122.2,0.0,-1.0,0.4,20.4,-1.0,-1.0,33.1,11.0,57.0,0,9.0,15.0,2444.1,1069,0.0,237.0,1.1,18.0,2402.22,24.0,8.0,2.0,2.0,49.0,0.84,0.97,1.9,11.0
sindresorhus,log-update,2126.0,39.0,1959047,1122.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,85.0,0,12.0,1100.0,2969.7,19,0.0,3.0,2.7,10.0,3150.65,10.0,-1.0,1.0,-1.0,3.0,0.81,1.0,1.9,9.0
then,promise,5104.0,320.0,13324355,1122.1,0.0,-1.0,-1.0,-1.0,1.0,103.4,0.0,9.0,50.0,0,11.0,19.0,3541.0,0,0.0,-1.0,2.5,21.0,4116.26,23.0,-1.0,-1.0,1.0,-1.0,0.82,0.97,1.9,9.0
sindresorhus,del,2612.0,71.0,10998036,1122.0,0.0,-1.0,0.2,1.8,1.0,0.6,0.5,9.0,85.0,0,10.0,1100.0,2969.7,51,0.0,8.0,4.4,9.0,3571.15,12.0,2.0,2.0,1.0,3.0,0.84,1.0,1.9,9.0
sindresorhus,boxen,2936.0,67.0,5291041,1122.0,0.0,-1.0,0.1,0.3,1.0,0.5,-1.0,7.0,85.0,0,7.0,1100.0,2969.7,93,0.0,25.0,3.0,38.0,3023.12,21.0,2.0,3.0,1.0,3.0,0.94,1.0,1.9,7.0
maxogden,extract-zip,768.0,131.0,1594574,1122.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,57.0,0,5.0,-1.0,-1.0,947,0.0,-1.0,2.3,13.0,3453.7,4.0,1.0,-1.0,-1.0,-1.0,0.55,0.83,1.9,7.0
dominictarr,rc,2012.0,114.0,8028818,1122.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,9.0,893.0,3659.0,14,0.0,-1.0,3.6,7.0,4256.47,-1.0,-1.0,-1.0,-1.0,-1.0,0.68,0.77,1.9,6.0
protobufjs,protobuf.js,19098.0,1378.0,1,1119.1,3.0,3.0,22.7,14.9,6.0,10.3,8.4,30.0,37.0,0,12.0,2.0,4049.7,3716,6.0,133.0,1.7,150.0,4048.22,42.0,33.0,4.0,28.0,6.0,0.63,0.76,1.9,30.0
kriskowal,q,29904.0,1204.0,14338593,1118.7,0.0,-1.0,0.2,0.1,4.0,0.2,0.1,12.0,57.0,0,19.0,164.0,3638.9,85,0.0,-1.0,2.8,81.0,4957.94,-1.0,2.0,-1.0,5.0,-1.0,0.82,0.95,1.9,12.0
chimurai,http-proxy-middleware,20834.0,816.0,15385411,1117.1,1.0,-1.0,0.4,21.5,13.0,16.6,7.2,15.0,71.0,6,35.0,15.0,1330.0,6382,4.0,179.0,1.3,37.0,3305.34,59.0,16.0,2.0,16.0,10.0,0.83,0.96,1.9,15.0
jantimon,html-webpack-plugin,21202.0,1306.0,12720356,1115.9,-1.0,-1.0,41.0,34.9,4.0,39.5,26.4,16.0,57.0,0,10.0,201.0,2113.4,15114,0.0,80.0,2.3,319.0,3523.86,3.0,19.0,6.0,5.0,7.0,0.97,0.99,1.9,16.0
reactjs,react-transition-group,20080.0,650.0,3330251,1115.9,0.0,-1.0,17.5,1.3,-1.0,-1.0,-1.0,11.0,50.0,0,4.0,70.0,2026.6,53754,110.0,2.0,3.7,71.0,2688.19,27.0,10.0,-1.0,-1.0,-1.0,0.65,0.91,1.9,11.0
auth0,node-jsonwebtoken,34580.0,1203.0,0,1113.6,-1.0,-1.0,11.3,10.3,6.0,11.1,54.7,11.0,75.0,0,17.0,440.0,2943.6,356,0.0,67.0,3.6,49.0,3926.94,-1.0,25.0,1.0,13.0,4.0,0.81,0.87,1.9,11.0
react-bootstrap,dom-helpers,792.0,67.0,3391476,1113.6,0.0,-1.0,2.3,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,2.0,17.0,2978.7,25181,44.0,-1.0,1.5,49.0,3302.3,-1.0,1.0,-1.0,-1.0,-1.0,0.58,0.92,1.9,8.0
