owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
Semantic-Org,Semantic-UI-React,26320.0,4023.0,186527,873.8,-8.0,-1.0,40.1,2.6,11.0,4.0,0.0,32.0,62.0,0,12.0,76.0,3340.9,49365,163.0,109.0,1.5,622.0,3208.3,23.0,16.0,5.0,13.0,16.0,0.93,0.99,1.3,32.0
reactjs,react-router-redux,15658.0,650.0,2,873.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,7.0,70.0,2026.6,33056,91.0,-1.0,3.7,42.0,3069.21,18.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.3,8.0
koajs,koa-body,1872.0,127.0,103837,873.8,-1.0,-1.0,-1.0,-1.0,1.0,41.5,20.8,6.0,87.0,0,14.0,102.0,3484.5,113,91.0,3.0,3.6,22.0,3712.16,2.0,2.0,1.0,2.0,1.0,0.70,0.9,1.3,6.0
bahamas10,node-clear,226.0,11.0,65355,873.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,28.0,0,1.0,318.0,3301.2,0,0.0,-1.0,1.0,-1.0,4263.73,-1.0,-1.0,-1.0,-1.0,-1.0,0.80,0.5,1.3,6.0
babel,gulp-babel,2644.0,134.0,258179,873.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,50.0,0,11.0,61.0,2679.0,7294,27.0,-1.0,4.5,10.0,3470.53,4.0,-1.0,-1.0,-1.0,-1.0,0.87,0.82,1.3,8.0
Trott,slug,614.0,34.0,45542,873.7,2.0,1.0,20.2,1.0,26.0,2.8,8.6,10.0,57.0,7,5.0,378.0,2619.3,2247,1.0,438.0,2.4,16.0,1984.78,-1.0,5.0,3.0,26.0,23.0,0.78,1.0,1.2,10.0
elastic,elasticsearch-js-legacy,114.0,36.0,0,873.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,50.0,0,0.0,706.0,1697.8,1315,0.0,-1.0,2.0,113.0,1845.6,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.2,8.0
enricomarino,is,380.0,30.0,280530,873.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,0,19.0,100.0,3900.7,63,0.0,-1.0,1.6,6.0,4531.22,-1.0,-1.0,-1.0,-1.0,-1.0,0.92,0.93,1.2,-1.0
jgthms,bulma,95928.0,3908.0,243466,873.6,-3.0,-3.0,18.5,19.2,11.0,19.4,60.8,27.0,71.0,0,12.0,90.0,2356.0,18138,8.0,94.0,1.2,108.0,2990.01,17.0,32.0,6.0,21.0,31.0,0.90,0.85,1.2,27.0
koajs,mount,1102.0,58.0,0,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,75.0,0,8.0,102.0,3484.5,113,0.0,-1.0,2.4,13.0,3879.72,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,0.89,1.2,8.0
gruntjs,grunt-contrib-concat,1614.0,179.0,469000,873.6,0.0,-1.0,-1.0,-1.0,1.0,13.9,-1.0,8.0,50.0,0,6.0,66.0,3929.9,4924,4.0,4.0,3.0,23.0,4197.5,2.0,-1.0,2.0,1.0,2.0,0.73,0.89,1.2,8.0
aseemk,requireDir,968.0,60.0,0,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,6.0,32.0,4232.6,220,0.0,-1.0,1.6,14.0,4289.84,7.0,-1.0,-1.0,-1.0,-1.0,0.82,0.97,1.2,7.0
yeoman,yosay,414.0,43.0,19788,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,50.0,0,4.0,48.0,3784.3,12,0.0,5.0,2.2,16.0,3614.43,6.0,-1.0,1.0,-1.0,3.0,1.00,1.0,1.2,8.0
felixge,node-require-all,600.0,50.0,43824,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,0,6.0,284.0,3372.0,0,0.0,-1.0,2.5,8.0,4491.45,-1.0,-1.0,-1.0,-1.0,-1.0,0.91,0.97,1.2,-1.0
sindresorhus,gulp-autoprefixer,1380.0,50.0,658340,873.6,0.0,-1.0,0.2,0.2,-1.0,-1.0,-1.0,10.0,85.0,0,7.0,1100.0,2969.7,19,0.0,2.0,2.3,7.0,3492.34,6.0,2.0,1.0,-1.0,2.0,0.92,1.0,1.2,10.0
hokaccha,node-jwt-simple,2728.0,149.0,53814,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,0,5.0,215.0,3061.8,687,31.0,-1.0,3.1,8.0,4450.79,-1.0,-1.0,-1.0,-1.0,-1.0,0.55,0.83,1.2,-1.0
scniro,gulp-clean-css,1298.0,60.0,458095,873.6,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,8.0,42.0,0,6.0,41.0,2533.0,92,0.0,-1.0,1.3,12.0,2961.29,28.0,2.0,-1.0,1.0,-1.0,0.89,0.88,1.2,8.0
floatdrop,gulp-plumber,1614.0,32.0,429525,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,6.0,367.0,3158.8,227,0.0,-1.0,1.7,7.0,3737.53,-1.0,-1.0,-1.0,-1.0,-1.0,0.67,1.0,1.2,7.0
restify,node-restify,21390.0,986.0,0,873.6,0.0,-1.0,22.3,27.3,1.0,0.2,81.8,22.0,75.0,15,9.0,10.0,3403.2,1137,0.0,29.0,2.6,115.0,4724.11,13.0,6.0,2.0,4.0,2.0,0.91,0.98,1.2,22.0
apollographql,react-apollo,13726.0,795.0,82078,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,87.0,9,4.0,175.0,1249.2,8675,39.0,-1.0,1.8,134.0,2909.03,82.0,-1.0,-1.0,-1.0,-1.0,0.90,0.99,1.2,29.0
postcss,gulp-postcss,1538.0,73.0,243602,873.6,2.0,-1.0,7.0,7.3,2.0,0.0,0.0,7.0,37.0,0,10.0,55.0,3000.8,269,0.0,6.0,4.2,8.0,3514.43,37.0,1.0,1.0,2.0,5.0,0.96,1.0,1.2,7.0
OverZealous,run-sequence,1936.0,61.0,224344,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,5.0,46.0,2958.2,583,28.0,-1.0,1.6,7.0,3726.72,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.2,8.0
koajs,logger,1126.0,102.0,3,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,87.0,0,6.0,102.0,3484.5,172,0.0,-1.0,4.4,10.0,3879.76,1.0,-1.0,-1.0,-1.0,-1.0,0.78,0.83,1.2,6.0
jaredhanson,passport-oauth,234.0,54.0,31908,873.6,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,42.0,0,5.0,416.0,3498.9,122,0.0,-1.0,1.2,6.0,4556.72,-1.0,-1.0,-1.0,1.0,-1.0,0.54,0.94,1.2,1.0
hughsk,vinyl-source-stream,666.0,29.0,137572,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,5.0,491.0,3635.9,8,0.0,-1.0,2.4,4.0,3732.49,-1.0,-1.0,-1.0,-1.0,-1.0,0.95,1.0,1.2,6.0
MoOx,postcss-cssnext,10612.0,218.0,178944,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,71.0,4,4.0,147.0,2534.3,29541,127.0,-1.0,1.5,95.0,3530.72,40.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.2,20.0
ivogabe,gulp-typescript,1614.0,136.0,62084,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,42.0,0,0.0,31.0,2573.3,830,24.0,-1.0,1.4,255.0,3614.59,69.0,-1.0,-1.0,-1.0,-1.0,0.92,0.89,1.2,12.0
sindresorhus,gulp-filter,632.0,37.0,105350,873.6,0.0,-1.0,0.4,0.0,1.0,1.0,-1.0,8.0,71.0,0,9.0,1100.0,2969.7,9,0.0,8.0,2.9,6.0,3732.24,8.0,2.0,2.0,1.0,7.0,0.95,1.0,1.2,8.0
adametry,gulp-eslint,1130.0,122.0,152271,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,16.0,7.0,2904.8,4205,51.0,-1.0,3.2,32.0,3746.18,1.0,-1.0,-1.0,-1.0,-1.0,0.92,0.81,1.2,7.0
sindresorhus,gulp-imagemin,3774.0,165.0,409237,873.6,0.0,-1.0,-1.0,125.4,-1.0,-1.0,-1.0,7.0,85.0,0,8.0,1100.0,2969.7,8,0.0,5.0,3.6,8.0,3744.25,10.0,1.0,1.0,-1.0,1.0,0.93,0.99,1.2,7.0
hughsk,vinyl-buffer,152.0,10.0,85449,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,4.0,491.0,3635.9,27,0.0,-1.0,1.8,3.0,3689.85,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,0.8,1.2,7.0
jaredhanson,connect-flash,2460.0,153.0,290116,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,42.0,0,7.0,416.0,3498.9,190,0.0,-1.0,1.1,1.0,4398.77,-1.0,-1.0,-1.0,-1.0,-1.0,0.48,0.47,1.2,10.0
palantir,tslint-react,1506.0,80.0,61536,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,37.0,0,5.0,226.0,2279.6,896,6.0,-1.0,1.8,45.0,2845.7,30.0,-1.0,-1.0,-1.0,-1.0,0.99,1.0,1.2,28.0
karma-runner,karma-phantomjs-launcher,562.0,131.0,294435,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,50.0,0,3.0,46.0,3768.0,3186,84.0,-1.0,3.1,10.0,4049.24,-1.0,-1.0,-1.0,-1.0,-1.0,0.56,0.37,1.2,17.0
s-panferov,awesome-typescript-loader,4706.0,182.0,112524,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,57.0,6,28.0,87.0,2783.0,5375,65.0,-1.0,1.5,29.0,3327.24,10.0,-1.0,-1.0,-1.0,-1.0,0.58,0.88,1.2,13.0
gruntjs,grunt-contrib-jshint,1420.0,211.0,581374,873.6,0.0,-1.0,-1.0,-1.0,3.0,24.4,-1.0,8.0,50.0,0,6.0,66.0,3929.9,5254,10.0,19.0,5.4,20.0,4197.54,13.0,-1.0,3.0,3.0,4.0,0.88,1.0,1.2,8.0
clessg,progress-bar-webpack-plugin,866.0,44.0,50102,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,5.0,48.0,2901.4,44,0.0,-1.0,3.3,3.0,3085.19,-1.0,-1.0,-1.0,-1.0,-1.0,0.50,0.88,1.2,7.0
gulp-community,gulp-less,1120.0,116.0,184358,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,25.0,0,9.0,22.0,3519.9,83,0.0,-1.0,3.8,24.0,3919.15,8.0,1.0,-1.0,-1.0,-1.0,0.95,1.0,1.2,7.0
jackfranklin,gulp-load-plugins,1516.0,61.0,179905,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,85.0,10,13.0,322.0,3100.6,910,3.0,-1.0,4.3,14.0,3770.97,7.0,-1.0,-1.0,-1.0,-1.0,0.99,0.98,1.2,8.0
floatdrop,gulp-watch,1290.0,106.0,162809,873.6,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,13.0,42.0,0,9.0,367.0,3158.8,5627,29.0,-1.0,2.0,28.0,3725.31,8.0,2.0,-1.0,-1.0,-1.0,0.83,0.73,1.2,13.0
buglabs,node-xml2json,1616.0,215.0,0,873.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,25.0,0,7.0,72.0,4264.7,1445,23.0,-1.0,2.7,40.0,4658.23,-1.0,-1.0,-1.0,-1.0,-1.0,0.65,0.87,1.2,1.0
jdesboeufs,connect-mongo,3906.0,347.0,193050,873.3,0.0,-1.0,16.4,29.2,1.0,46.9,1.9,16.0,71.0,0,27.0,74.0,2400.0,38992,31.0,14.0,2.9,28.0,4772.85,-1.0,6.0,2.0,2.0,3.0,0.95,0.99,1.2,16.0
loganfsmyth,babel-plugin-transform-decorators-legacy,1642.0,57.0,170093,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,6.0,68.0,2830.2,2853,0.0,-1.0,1.5,3.0,3042.52,1.0,-1.0,-1.0,-1.0,-1.0,0.73,0.82,1.2,7.0
maritz,node-sprintf,146.0,13.0,24424,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,0,5.0,46.0,3099.9,2,0.0,-1.0,2.4,4.0,4893.1,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,0.91,1.2,-1.0
ryanmcgrath,wrench-js,874.0,71.0,52287,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,42.0,0,2.0,59.0,2714.2,2,0.0,-1.0,3.0,11.0,5139.68,-1.0,-1.0,-1.0,-1.0,-1.0,0.64,0.86,1.2,3.0
pull-stream,pull-stream,1584.0,78.0,120770,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,37.0,0,22.0,55.0,3290.3,3,0.0,-1.0,1.6,51.0,4027.7,-1.0,-1.0,-1.0,-1.0,-1.0,0.68,0.98,1.2,6.0
mikaelbr,gulp-notify,1188.0,39.0,203544,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,18.0,209.0,2861.3,653,8.0,-1.0,1.9,8.0,3735.26,2.0,-1.0,-1.0,1.0,-1.0,0.72,0.78,1.2,7.0
evilstreak,markdown-js,15378.0,865.0,0,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,28.0,0,18.0,34.0,3171.9,76,0.0,-1.0,1.2,94.0,5217.35,1.0,-1.0,-1.0,-1.0,-1.0,0.56,0.87,1.2,4.0
Polymer,polymer,44006.0,2013.0,5,873.3,0.0,0.0,25.3,24.0,1.0,142.1,0.0,67.0,62.0,13,8.0,55.0,2691.6,24907,0.0,25.0,2.5,1119.0,4238.13,115.0,2.0,-1.0,13.0,-1.0,0.99,0.98,1.2,67.0
jprichardson,string.js,3592.0,231.0,0,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,28.0,0,73.0,166.0,3834.8,301,0.0,-1.0,2.5,15.0,4517.07,-1.0,-1.0,-1.0,-1.0,-1.0,0.60,0.8,1.2,5.0
goldhand,sw-precache-webpack-plugin,2886.0,115.0,574491,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,42.0,0,13.0,107.0,2731.4,31089,49.0,-1.0,2.0,9.0,2863.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.77,1.0,1.2,9.0
spalger,gulp-jshint,838.0,71.0,196838,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,12.0,8.0,2849.8,726,33.0,-1.0,3.2,20.0,3888.15,-1.0,-1.0,-1.0,-1.0,-1.0,0.89,0.94,1.2,7.0
nuysoft,Mock,38638.0,2660.0,0,873.3,0.0,-1.0,-1.0,12.8,-1.0,-1.0,-1.0,11.0,42.0,0,5.0,11.0,3327.5,500,0.0,-1.0,1.1,11.0,3992.66,14.0,2.0,-1.0,-1.0,-1.0,0.32,0.4,1.2,11.0
stylus,nib,3808.0,252.0,129425,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,37.0,0,7.0,8.0,2466.4,591,3.0,-1.0,2.9,89.0,4744.93,30.0,-1.0,-1.0,-1.0,-1.0,0.65,0.86,1.2,9.0
sun-zheng-an,gulp-shell,964.0,62.0,94172,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,6.0,1.0,3690.5,11655,30.0,-1.0,2.2,6.0,3690.48,17.0,-1.0,-1.0,-1.0,-1.0,0.99,0.69,1.2,8.0
caolan,highland,6848.0,162.0,10296,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,57.0,0,5.0,136.0,3697.4,5359,76.0,-1.0,5.8,34.0,4236.78,-1.0,-1.0,-1.0,-1.0,-1.0,0.69,0.97,1.2,18.0
ftlabs,fastclick,37400.0,3248.0,145382,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,37.0,0,13.0,111.0,2633.2,0,0.0,-1.0,2.2,14.0,4430.64,3.0,-1.0,-1.0,-1.0,-1.0,0.46,0.68,1.2,6.0
jamestalmage,cli-table2,522.0,38.0,35860,873.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,11.0,339.0,3021.1,134,0.0,-1.0,1.3,9.0,3395.99,-1.0,-1.0,-1.0,-1.0,-1.0,0.31,0.75,1.2,7.0
serialport,node-serialport,11326.0,1001.0,29614,873.0,3.0,-1.0,8.0,16.7,34.0,7.8,8.9,23.0,100.0,12,13.0,12.0,1910.5,7399,4.0,1226.0,1.7,232.0,4954.48,99.0,27.0,3.0,50.0,158.0,0.92,0.98,1.2,23.0
nathanpeck,clui,3318.0,53.0,21326,873.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,-1.0,100.0,2438.9,89,0.0,-1.0,1.6,6.0,3647.99,-1.0,-1.0,-1.0,-1.0,-1.0,0.55,0.93,1.2,6.0
hapijs,hapi,28926.0,1329.0,51944,872.9,0.0,-1.0,15.0,4.2,3.0,68.6,26.7,17.0,75.0,0,4.0,75.0,3047.3,83,0.0,59.0,3.4,375.0,4621.98,13.0,13.0,4.0,10.0,6.0,0.98,0.99,1.2,17.0
baryon,tracer,2288.0,124.0,9468,872.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,28.0,0,68.0,151.0,2013.1,2867,5.0,-1.0,2.5,49.0,4412.78,7.0,-1.0,1.0,1.0,3.0,0.92,0.98,1.2,8.0
louischatriot,nedb,26830.0,1017.0,42702,872.9,0.0,-1.0,-1.0,48.0,-1.0,-1.0,-1.0,7.0,42.0,0,21.0,83.0,2875.1,536,0.0,-1.0,1.8,19.0,3987.28,-1.0,2.0,-1.0,-1.0,-1.0,0.71,0.69,1.2,7.0
Timer,fork-ts-checker-webpack-plugin,0.0,3.0,192976,872.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,0,13.0,146.0,2076.1,0,68.0,-1.0,3.5,81.0,1988.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,1.2,8.0
nodegit,nodegit,11124.0,690.0,5826,872.9,2.0,-1.0,112.1,59.1,2.0,0.6,-1.0,14.0,50.0,2,10.0,11.0,3173.3,1344,11.0,35.0,2.2,1975.0,4790.3,87.0,5.0,2.0,2.0,7.0,0.69,0.96,1.2,14.0
pouchdb,pouchdb,32432.0,1485.0,27416,871.8,-2.0,0.0,25.1,13.6,107.0,13.2,10.6,12.0,62.0,1,0.0,52.0,3347.0,994,0.0,1167.0,2.5,1222.0,5043.23,68.0,20.0,9.0,116.0,164.0,0.98,0.99,1.2,12.0
sindresorhus,unique-random-array,148.0,11.0,43516,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,71.0,0,6.0,1100.0,2969.7,87,0.0,-1.0,1.7,8.0,3359.43,2.0,-1.0,-1.0,-1.0,-1.0,0,1.0,1.2,7.0
jupyterlab,jupyterlab,27286.0,2979.0,10594,871.8,21.0,5.0,17.4,3.4,481.0,9.2,-1.0,139.0,87.0,1,14.0,63.0,1777.9,24700,4.0,94562.0,5.3,5512.0,2858.16,189.0,209.0,63.0,514.0,316.0,0.71,0.99,1.2,139.0
dthree,vorpal,11230.0,314.0,8125,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,42.0,0,10.0,9.0,1803.9,1992,0.0,-1.0,4.1,37.0,3143.29,-1.0,-1.0,-1.0,1.0,-1.0,0.51,0.85,1.2,9.0
hapijs,inert,476.0,48.0,21153,871.8,0.0,-1.0,-1.0,-1.0,1.0,3.0,-1.0,17.0,75.0,0,3.0,75.0,3047.3,42,0.0,10.0,2.8,23.0,3461.11,4.0,-1.0,-1.0,1.0,-1.0,0.95,1.0,1.2,17.0
EvanOxfeld,node-unzip,1224.0,331.0,2,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,6.0,38.0,3579.8,89,1.0,-1.0,1.8,3.0,4253.39,-1.0,-1.0,-1.0,-1.0,-1.0,0.28,0.62,1.2,7.0
cloudhead,node-static,4354.0,256.0,72941,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,20.0,92.0,3493.7,1231,7.0,-1.0,3.3,14.0,4996.81,-1.0,1.0,-1.0,-1.0,-1.0,0.68,0.99,1.2,8.0
danwrong,restler,3980.0,388.0,7875,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,42.0,0,13.0,32.0,4938.7,73,0.0,-1.0,4.5,18.0,5240.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.47,0.8,1.2,1.0
alibaba,BizCharts,12258.0,667.0,13458,871.8,0.0,-1.0,0.3,4.1,-1.0,-1.0,-1.0,13.0,37.0,0,12.0,415.0,1864.6,5614,0.0,-1.0,1.8,427.0,2333.65,22.0,13.0,1.0,-1.0,10.0,0.74,0.99,1.2,13.0
metalsmith,metalsmith,15642.0,625.0,14638,871.8,0.0,-1.0,13.5,26.5,1.0,9.7,9.7,21.0,87.0,11,17.0,33.0,2261.0,1470,0.0,50.0,1.9,109.0,3708.84,11.0,3.0,2.0,1.0,13.0,0.90,0.96,1.2,21.0
zilverline,react-tap-event-plugin,2138.0,110.0,46646,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,0,7.0,91.0,3070.2,0,0.0,-1.0,2.0,11.0,3505.45,1.0,-1.0,-1.0,-1.0,-1.0,0.60,0.92,1.2,7.0
slushjs,gulp-install,212.0,46.0,23307,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,37.0,0,19.0,7.0,3638.5,232,0.0,-1.0,2.4,5.0,3661.38,1.0,-1.0,-1.0,-1.0,-1.0,0.71,0.78,1.2,7.0
sindresorhus,gulp-template,576.0,79.0,10276,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,71.0,0,13.0,1100.0,2969.7,11,0.0,5.0,1.9,6.0,3759.3,1.0,-1.0,1.0,-1.0,1.0,0.87,1.0,1.2,7.0
shockie,node-iniparser,148.0,25.0,3553,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,0,3.0,13.0,2387.2,0,0.0,-1.0,1.9,4.0,4936.69,-1.0,-1.0,-1.0,-1.0,-1.0,0.14,0.59,1.2,-1.0
redis,hiredis-node,608.0,84.0,1,871.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,37.0,0,7.0,32.0,2772.4,3,0.0,-1.0,2.7,17.0,4877.58,1.0,-1.0,-1.0,-1.0,-1.0,0.89,0.92,1.2,4.0
alibaba-fusion,next,9032.0,569.0,0,872.8,-2.0,-2.0,31.8,21.7,135.0,7.9,8.3,41.0,37.0,0,13.0,29.0,1841.2,43818,70.0,7337.0,2.5,1701.0,2110.7,354.0,76.0,25.0,148.0,286.0,0.88,0.99,1.2,41.0
iview,iview,47954.0,4163.0,30727,872.8,1.0,-1.0,-1.0,29.8,-1.0,-1.0,-1.0,29.0,50.0,0,11.0,17.0,2396.7,27931,143.0,-1.0,3.3,606.0,2803.92,85.0,3.0,-1.0,1.0,-1.0,0.80,0.9,1.2,29.0
phosphorjs,phosphor,2068.0,168.0,365,872.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,37.0,3,1.0,4.0,3202.2,13884,117.0,-1.0,1.7,915.0,3308.99,-1.0,-1.0,-1.0,-1.0,-1.0,0.75,0.92,1.2,13.0
ipfs,js-ipfs,14904.0,1257.0,151,872.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,75.0,2,10.0,218.0,1858.8,8291,0.0,263.0,2.1,2794.0,3593.98,983.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.2,80.0
johnagan,clean-webpack-plugin,3918.0,134.0,696007,872.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,6.0,33.0,2828.9,1895,0.0,-1.0,2.5,14.0,3283.0,7.0,-1.0,-1.0,-1.0,-1.0,0.77,0.97,1.2,7.0
atomist,automation-client,30.0,16.0,510,872.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,75.0,4,4.0,70.0,1939.5,8680,41.0,-1.0,2.4,558.0,2386.08,147.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.2,42.0
sindresorhus,query-string,13206.0,443.0,8021563,872.8,1.0,-1.0,0.1,0.1,2.0,4.9,0.0,7.0,85.0,0,17.0,1100.0,2969.7,9,0.0,14.0,7.2,20.0,3791.16,45.0,7.0,-1.0,2.0,-1.0,0.90,1.0,1.2,7.0
plone,volto,842.0,554.0,275,861.4,-4.0,-5.0,16.6,10.1,478.0,7.2,0.0,43.0,87.0,3,13.0,399.0,3513.5,50177,26.0,38826.0,2.1,2594.0,2877.35,755.0,58.0,61.0,556.0,433.0,0.60,0.95,1.2,43.0
gaearon,react-hot-loader,24532.0,801.0,466551,861.4,0.0,-1.0,0.8,-1.0,-1.0,-1.0,-1.0,13.0,71.0,6,44.0,269.0,2723.0,69001,169.0,-1.0,2.4,474.0,3550.01,158.0,2.0,-1.0,-1.0,-1.0,0.88,0.64,1.2,13.0
react-component,rc-tools,408.0,59.0,728,861.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,25.0,0,7.0,108.0,2564.4,7898,0.0,-1.0,1.9,73.0,3386.62,-1.0,-1.0,-1.0,-1.0,-1.0,0.55,0.94,1.2,9.0
darekf77,morphi,20.0,1.0,61,861.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,28.0,0,0.0,108.0,1510.2,29513,38.0,311.0,1.3,688.0,2236.43,-1.0,-1.0,1.0,-1.0,128.0,0,1.0,1.2,9.0
e1-bsd,omni-common-ui,10.0,3.0,2,861.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,10.0,19.0,2457.9,38263,164.0,-1.0,1.1,57.0,2893.9,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.67,1.2,8.0
facebook,nuclide,15620.0,682.0,23,861.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,62.0,11,2.0,135.0,2276.2,47260,232.0,-1.0,2.1,6008.0,3317.77,114.0,-1.0,-1.0,-1.0,-1.0,0.70,0.98,1.2,17.0
